,Año,Clave_Ent,Cve. Municipio,Tipo de delito,Enero,Febrero,Marzo,Abril,Mayo,Junio,Julio,Agosto,Septiembre,Octubre,Noviembre,Diciembre
197,0,0,2,18,0,0,0,0,0,1,0,0,0,0,0,0
198,0,0,2,18,0,0,0,0,0,0,0,0,0,1,0,0
199,0,0,2,18,0,0,0,0,0,0,0,0,0,0,0,0
200,0,0,2,18,0,0,0,0,0,0,0,0,0,0,0,0
201,0,0,2,18,0,0,0,0,0,0,0,0,0,0,0,0
202,0,0,2,18,1,0,0,2,1,0,2,0,0,1,1,0
203,0,0,2,18,0,0,0,0,0,0,0,0,0,0,0,0
204,0,0,2,18,0,0,0,0,0,0,0,0,0,0,0,0
205,0,0,2,22,0,0,1,0,2,0,0,0,0,0,0,0
206,0,0,2,22,0,0,0,0,1,0,0,0,0,0,0,0
207,0,0,2,22,6,3,5,5,2,5,5,6,4,5,3,5
208,0,0,2,22,1,0,2,1,0,1,0,2,3,0,0,0
209,0,0,2,22,0,0,0,0,0,0,0,0,0,0,0,0
210,0,0,2,22,0,0,0,0,0,0,0,0,0,0,0,0
211,0,0,2,22,5,3,0,2,2,2,4,2,1,2,1,5
212,0,0,2,22,0,0,0,0,0,0,0,0,0,0,0,0
213,0,0,2,22,0,0,0,1,0,1,0,1,0,0,2,0
214,0,0,2,16,0,0,0,0,0,0,0,0,0,0,0,0
215,0,0,2,16,0,0,0,0,0,0,0,0,0,0,0,0
216,0,0,2,16,0,0,0,0,0,0,0,0,0,0,0,0
217,0,0,2,16,0,0,0,0,0,0,0,0,0,0,0,0
218,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
219,0,0,2,30,0,0,0,0,0,0,0,0,0,0,0,0
220,0,0,2,33,0,0,0,0,0,0,0,1,0,0,0,0
221,0,0,2,33,0,0,0,0,0,0,0,0,0,0,0,0
222,0,0,2,33,0,0,0,0,0,0,0,0,0,0,0,0
223,0,0,2,33,0,0,0,0,0,0,0,0,0,0,0,0
224,0,0,2,33,0,0,0,0,0,0,0,0,0,0,0,0
225,0,0,2,35,0,0,0,0,0,0,0,0,0,0,0,0
226,0,0,2,31,0,0,0,0,0,0,0,0,0,0,0,0
227,0,0,2,28,1,0,1,0,0,1,1,0,1,0,1,1
228,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0
229,0,0,2,3,0,0,0,0,0,0,0,0,0,0,0,0
230,0,0,2,19,0,0,0,0,0,0,1,0,0,1,0,1
231,0,0,2,37,0,0,1,0,0,3,2,0,0,2,0,1
232,0,0,2,36,0,0,0,0,0,0,0,0,1,0,0,0
233,0,0,2,20,0,0,0,0,0,0,0,0,0,0,0,0
234,0,0,2,29,2,3,3,0,1,1,0,1,0,1,1,0
235,0,0,2,32,0,0,0,1,0,0,0,0,0,0,0,0
236,0,0,2,32,11,5,9,1,0,5,4,4,5,4,1,3
237,0,0,2,32,1,0,0,0,0,0,0,0,0,1,0,0
238,0,0,2,32,0,1,2,0,0,1,1,0,0,0,3,0
239,0,0,2,32,0,0,0,0,0,0,0,0,0,0,0,0
240,0,0,2,32,2,0,1,0,0,1,0,1,1,0,0,1
241,0,0,2,32,0,0,0,0,0,0,0,0,0,0,0,0
242,0,0,2,32,0,0,0,0,0,0,0,0,0,0,0,0
243,0,0,2,32,0,0,0,0,0,0,0,0,0,0,0,0
244,0,0,2,32,6,1,6,1,1,0,3,2,1,1,0,2
245,0,0,2,32,0,0,0,0,0,0,0,0,0,0,0,0
246,0,0,2,32,0,0,0,0,0,0,0,0,0,0,0,0
247,0,0,2,32,0,0,0,0,0,0,0,0,0,0,0,0
248,0,0,2,32,2,0,2,0,2,5,2,1,3,1,0,2
249,0,0,2,32,0,0,0,0,0,0,0,0,0,0,0,0
250,0,0,2,32,0,0,0,0,0,0,0,0,0,0,0,0
251,0,0,2,32,0,0,0,0,0,0,0,0,0,0,0,0
252,0,0,2,32,0,0,0,0,0,0,0,0,0,0,0,0
253,0,0,2,32,0,0,0,0,0,0,0,0,0,0,0,0
254,0,0,2,32,0,0,0,0,0,0,0,0,0,1,0,0
255,0,0,2,32,0,0,0,0,0,0,0,0,0,0,0,0
256,0,0,2,32,0,0,0,0,0,0,0,0,0,0,0,0
257,0,0,2,32,0,0,0,0,0,0,0,0,0,0,0,0
258,0,0,2,32,0,0,0,0,0,0,0,0,0,0,0,0
259,0,0,2,32,0,0,0,0,0,0,0,0,0,0,0,0
260,0,0,2,32,4,5,4,5,0,4,5,1,5,5,4,3
261,0,0,2,32,0,0,0,0,0,0,0,0,0,0,0,0
262,0,0,2,32,1,0,2,1,2,2,1,0,2,1,0,3
263,0,0,2,32,0,0,0,0,0,0,0,0,0,0,0,0
264,0,0,2,32,0,0,0,0,0,0,0,0,0,0,0,0
265,0,0,2,32,0,0,0,0,0,0,0,0,0,0,0,0
266,0,0,2,32,0,0,0,0,0,0,0,0,0,0,0,0
267,0,0,2,32,0,0,0,0,0,0,0,0,0,0,0,0
268,0,0,2,32,0,0,0,0,0,0,0,0,0,0,0,0
